Port Charlotte	6	Port Charlotte ; Bruichladdich Port Charlotte ; Bruichladdich Port Charlotte Islay Barley ; Bruichladdich Port Charlotte Islay Barley 2013 ; Bruichladdich Port Charlotte Islay Barley 2014 ; Bruichladdich Port Charlotte Islay Barley 2011/2012
Scots Gold	6	Scots Gold ; Scots Gold ; Red Label Scots Gold ; Scots Gold Red Label ; Black Label Scots Gold ; Scots Gold Black Label
The Singleton of Dufftown	6	The Singleton of Dufftown ; The Singleton of Dufftown ; The Singleton of Dufftown ; The Singleton of Dufftown ; The Singleton of Dufftown Malt Master ; The Singleton of Dufftown Malt Master Selection
Woodford Reserve	6	Woodford Reserve ; Woodford Reserve ; Woodford Reserve Wheat ; Woodford Reserve Double Oaked ; Woodford Reserve Baccarat Edition ; Woodford Reserve Distiller's Select
Yellowstone	6	Yellowstone ; Yellowstone Select ; Yellowstone Small Batch ; Yellowstone Rum Cask Finish ; Yellowstone Toasted Staves Finish ; Yellowstone Family Recipe Anniversary
Allt A Bhainne	5	Allt-A-Bhainne ; Allt-a-Bhainne Vintage 1996 ; Allt-A-Bhainne Pedro Ximenez ; Allt-a-Bhainne - Old Malt Cask ; Allt-A-Bhainne Refill Hogshead
Ardmore	5	Ardmore ; Ardmore Old & Rare ; Ardmore Vintage 1996 ; Ardmore Port Wood Finish ; Gordon & MacPhail Ardmore
Ardnahoe	5	Ardnahoe Bholsa ; Ardnahoe Inaugural ; Ardnahoe Cask Strength ; Ardnahoe Infinite Loch ; Ardnahoe Infinite Loch
Barry Bernard	5	Barry Bernard ; Barry Bernard ; Barry Bernard ; Barry Bernard Honey ; Barry Bernard Spisy
Ben Nevis	5	Ben Nevis ; Ben Nevis Coire Leis ; Ben Nevis Traditional ; Ben Nevis 1962 at Birth ; Ben Nevis Traditional Peated Malt
Benrinnes	5	Benrinnes ; Benrinnes Flora and Fauna ; Hepburn's Choice Benrinnes ; Benrinnes Special Release 2024 ; Mossburn Vintage Casks №11 Benrinnes
Beverbach	5	Beverbach Tri Cask ; Beverbach Sherry Cask Finish ; Beverbach Tequila Cask Finish ; Beverbach Mizunara Cask Finish ; Beverbach Craftbeer Cask Finish
Black Bottle	5	Black Bottle ; Black Bottle ; Black Bottle ; Black Bottle Andean Oak ; Black Bottle Captain's Cask
Blair Athol	5	Blair Athol ; Blair Athol ; Blair Athol ; Blair Athol ; Blair Athol
